sl,tp,be,be_tr,session,cooldown,cd_bars,net,net_pct,dd,pf,wr,trades
1.8,3.4,False,1.4,False,True,4,21302.0,2.13,17984.0,1.231,40.0,50
1.8,3.6,False,1.4,False,True,4,21269.0,2.127,17984.0,1.224,38.0,50
1.8,3.2,False,1.4,False,True,4,20978.0,2.098,17984.0,1.233,42.0,50
1.8,3.6,False,1.4,False,False,2,16621.0,1.662,21590.0,1.155,36.36,55
1.8,3.6,False,1.4,False,False,3,16621.0,1.662,21590.0,1.155,36.36,55
1.8,3.6,False,1.4,False,False,4,16621.0,1.662,21590.0,1.155,36.36,55
1.8,3.4,False,1.4,False,False,2,16201.0,1.62,21590.0,1.155,38.18,55
1.8,3.4,False,1.4,False,False,3,16201.0,1.62,21590.0,1.155,38.18,55
1.8,3.4,False,1.4,False,False,4,16201.0,1.62,21590.0,1.155,38.18,55
1.8,3.2,False,1.4,True,True,4,16148.0,1.615,16298.0,1.34,46.43,28
1.8,3.2,False,1.4,False,False,2,15427.0,1.543,21590.0,1.151,40.0,55
1.8,3.2,False,1.4,False,False,3,15427.0,1.543,21590.0,1.151,40.0,55
1.8,3.2,False,1.4,False,False,4,15427.0,1.543,21590.0,1.151,40.0,55
1.8,3.4,False,1.4,False,True,2,14992.0,1.499,17571.0,1.152,38.46,52
1.8,3.6,False,1.4,False,True,2,14960.0,1.496,17571.0,1.148,36.54,52
1.8,3.2,False,1.4,False,True,2,14671.0,1.467,17571.0,1.153,40.38,52
1.8,3.4,False,1.4,False,True,3,14565.0,1.457,17984.0,1.147,38.46,52
1.8,3.6,False,1.4,False,True,3,14533.0,1.453,17984.0,1.144,36.54,52
1.8,3.2,False,1.4,False,True,3,14244.0,1.424,17984.0,1.148,40.38,52
1.8,3.2,False,1.4,True,False,2,13614.0,1.361,16298.0,1.273,44.83,29
1.8,3.2,False,1.4,True,False,3,13614.0,1.361,16298.0,1.273,44.83,29
1.8,3.2,False,1.4,True,False,4,13614.0,1.361,16298.0,1.273,44.83,29
1.8,3.2,False,1.4,True,True,2,13614.0,1.361,16298.0,1.273,44.83,29
1.8,3.2,False,1.4,True,True,3,13614.0,1.361,16298.0,1.273,44.83,29
1.8,3.4,False,1.4,True,True,4,13476.0,1.348,15970.0,1.27,42.86,28
1.8,3.4,False,1.4,True,False,2,10948.0,1.095,15970.0,1.209,41.38,29
1.8,3.4,False,1.4,True,False,3,10948.0,1.095,15970.0,1.209,41.38,29
1.8,3.4,False,1.4,True,False,4,10948.0,1.095,15970.0,1.209,41.38,29
1.8,3.4,False,1.4,True,True,2,10948.0,1.095,15970.0,1.209,41.38,29
1.8,3.4,False,1.4,True,True,3,10948.0,1.095,15970.0,1.209,41.38,29
1.6,3.2,False,1.4,False,True,4,10764.0,1.076,22272.0,1.121,37.25,51
1.6,3.4,False,1.4,False,True,4,10690.0,1.069,22272.0,1.117,35.29,51
1.8,3.6,False,1.4,True,True,4,10459.0,1.046,15642.0,1.201,39.29,28
1.6,3.6,False,1.4,False,True,4,10257.0,1.026,22272.0,1.11,33.33,51
1.7,3.2,False,1.4,False,True,4,9773.0,0.977,23622.0,1.108,38.0,50
