sl,tp,be,be_tr,session,cooldown,cd_bars,macd_dir,max_dev_atr,net,net_pct,dd,pf,wr,trades
1.4,3.2,False,1.0,False,True,4,False,2.2,10104.0,1.01,12777.0,1.342,33.33,18
1.4,3.2,False,1.0,False,False,4,False,2.2,10104.0,1.01,12777.0,1.342,33.33,18
1.4,3.2,False,1.0,False,False,5,False,2.2,10104.0,1.01,12777.0,1.342,33.33,18
1.4,3.2,False,1.0,False,False,6,False,2.2,10104.0,1.01,12777.0,1.342,33.33,18
1.5,3.2,False,1.0,False,True,4,False,2.2,8046.0,0.805,13643.0,1.255,33.33,18
1.5,3.2,False,1.0,False,False,4,False,2.2,8046.0,0.805,13643.0,1.255,33.33,18
1.5,3.2,False,1.0,False,False,5,False,2.2,8046.0,0.805,13643.0,1.255,33.33,18
1.5,3.2,False,1.0,False,False,6,False,2.2,8046.0,0.805,13643.0,1.255,33.33,18
1.4,3.0,False,1.0,False,True,4,False,2.2,7606.0,0.761,12748.0,1.258,33.33,18
1.4,3.0,False,1.0,False,False,4,False,2.2,7606.0,0.761,12748.0,1.258,33.33,18
1.4,3.0,False,1.0,False,False,5,False,2.2,7606.0,0.761,12748.0,1.258,33.33,18
1.4,3.0,False,1.0,False,False,6,False,2.2,7606.0,0.761,12748.0,1.258,33.33,18
1.4,3.2,False,1.0,True,True,4,True,2.0,7559.0,0.756,2858.0,1.952,40.0,5
1.4,3.2,False,1.0,True,True,4,True,2.2,7559.0,0.756,2858.0,1.952,40.0,5
1.4,3.2,False,1.0,True,True,4,False,2.0,7559.0,0.756,2858.0,1.952,40.0,5
1.4,3.2,False,1.0,True,True,5,True,2.0,7559.0,0.756,2858.0,1.952,40.0,5
1.4,3.2,False,1.0,True,True,5,True,2.2,7559.0,0.756,2858.0,1.952,40.0,5
1.4,3.2,False,1.0,True,True,5,False,2.0,7559.0,0.756,2858.0,1.952,40.0,5
1.4,3.2,False,1.0,True,True,6,True,2.0,7559.0,0.756,2858.0,1.952,40.0,5
1.4,3.2,False,1.0,True,True,6,True,2.2,7559.0,0.756,2858.0,1.952,40.0,5
1.4,3.2,False,1.0,True,True,6,False,2.0,7559.0,0.756,2858.0,1.952,40.0,5
1.4,3.2,False,1.0,True,False,4,True,2.0,7559.0,0.756,2858.0,1.952,40.0,5
1.4,3.2,False,1.0,True,False,4,True,2.2,7559.0,0.756,2858.0,1.952,40.0,5
1.4,3.2,False,1.0,True,False,4,False,2.0,7559.0,0.756,2858.0,1.952,40.0,5
1.4,3.2,False,1.0,True,False,5,True,2.0,7559.0,0.756,2858.0,1.952,40.0,5
1.4,3.2,False,1.0,True,False,5,True,2.2,7559.0,0.756,2858.0,1.952,40.0,5
1.4,3.2,False,1.0,True,False,5,False,2.0,7559.0,0.756,2858.0,1.952,40.0,5
1.4,3.2,False,1.0,True,False,6,True,2.0,7559.0,0.756,2858.0,1.952,40.0,5
1.4,3.2,False,1.0,True,False,6,True,2.2,7559.0,0.756,2858.0,1.952,40.0,5
1.4,3.2,False,1.0,True,False,6,False,2.0,7559.0,0.756,2858.0,1.952,40.0,5
1.5,3.2,False,1.0,True,True,4,True,2.0,7004.0,0.7,3057.0,1.825,40.0,5
1.5,3.2,False,1.0,True,True,4,True,2.2,7004.0,0.7,3057.0,1.825,40.0,5
1.5,3.2,False,1.0,True,True,4,False,2.0,7004.0,0.7,3057.0,1.825,40.0,5
1.5,3.2,False,1.0,True,True,5,True,2.0,7004.0,0.7,3057.0,1.825,40.0,5
1.5,3.2,False,1.0,True,True,5,True,2.2,7004.0,0.7,3057.0,1.825,40.0,5
1.5,3.2,False,1.0,True,True,5,False,2.0,7004.0,0.7,3057.0,1.825,40.0,5
1.5,3.2,False,1.0,True,True,6,True,2.0,7004.0,0.7,3057.0,1.825,40.0,5
1.5,3.2,False,1.0,True,True,6,True,2.2,7004.0,0.7,3057.0,1.825,40.0,5
1.5,3.2,False,1.0,True,True,6,False,2.0,7004.0,0.7,3057.0,1.825,40.0,5
1.5,3.2,False,1.0,True,False,4,True,2.0,7004.0,0.7,3057.0,1.825,40.0,5
1.5,3.2,False,1.0,True,False,4,True,2.2,7004.0,0.7,3057.0,1.825,40.0,5
1.5,3.2,False,1.0,True,False,4,False,2.0,7004.0,0.7,3057.0,1.825,40.0,5
1.5,3.2,False,1.0,True,False,5,True,2.0,7004.0,0.7,3057.0,1.825,40.0,5
1.5,3.2,False,1.0,True,False,5,True,2.2,7004.0,0.7,3057.0,1.825,40.0,5
1.5,3.2,False,1.0,True,False,5,False,2.0,7004.0,0.7,3057.0,1.825,40.0,5
1.5,3.2,False,1.0,True,False,6,True,2.0,7004.0,0.7,3057.0,1.825,40.0,5
1.5,3.2,False,1.0,True,False,6,True,2.2,7004.0,0.7,3057.0,1.825,40.0,5
1.5,3.2,False,1.0,True,False,6,False,2.0,7004.0,0.7,3057.0,1.825,40.0,5
1.4,3.2,False,1.0,False,True,4,False,2.0,6908.0,0.691,12705.0,1.257,31.25,16
1.4,3.2,False,1.0,False,False,4,False,2.0,6908.0,0.691,12705.0,1.257,31.25,16
1.4,3.2,False,1.0,False,False,5,False,2.0,6908.0,0.691,12705.0,1.257,31.25,16
1.4,3.2,False,1.0,False,False,6,False,2.0,6908.0,0.691,12705.0,1.257,31.25,16
1.4,3.2,False,1.0,False,True,5,False,2.2,6628.0,0.663,15313.0,1.224,29.41,17
1.4,3.2,False,1.0,False,True,6,False,2.2,6628.0,0.663,15313.0,1.224,29.41,17
1.4,3.0,False,1.0,True,True,4,True,2.0,6583.0,0.658,2858.0,1.83,40.0,5
1.4,3.0,False,1.0,True,True,4,True,2.2,6583.0,0.658,2858.0,1.83,40.0,5
1.4,3.0,False,1.0,True,True,4,False,2.0,6583.0,0.658,2858.0,1.83,40.0,5
